"mz","rt","SPC.15V.1","SPC.30V.1","SPC.45V.1","mzinmgf","rtinmgf","mz_ms2","int_ms2","CE"
364.0349714,220.261,14764.51176,24519.76384,23289.62067,364.03531,221,274.0396,4656,15
327.2009554,234.91,68301.35328,32557.31594,63834.31489,327.20132,234,89.0618,2353,30
344.2264678,234.91,77625.81778,72087.03567,73394.04717,344.22819,235,327.2022,35653,15
174.1830472,243.079,27617.13956,23958.4005,35924.57488,174.18473,242,118.1233,1502,30
146.0590429,247.415,16583.66812,16408.2885,18778.63472,146.05984,247,128.0496,6772.7324,30
280.1524316,248.445,76819.59989,60290.20728,60767.76456,280.15431,249,85.0304,12387,30
114.1270736,250.935,13507.86,11448.84688,11543.08267,114.12793,251,72.9404,777,15
263.1392066,251.524,15463.18374,14007.64783,13075.16033,263.13887,251,70.0673,3022,45
402.2330572,263.004,20715.52022,19824.74982,20159.68118,402.23276,263,385.2074,1936,15
243.1333692,263.824,22894.407,18340.69172,22148.9055,243.13371,264,197.1283,5308,15
121.0278214,268.733,15315.54139,23514.788,20060.86856,121.02778,268,65.0432,1365,30
245.1853078,268.728,24587.87312,26049.14007,28432.76567,245.18539,268,86.0982,3918,15
319.1640604,274.904,59473.6682,56029.64286,51372.24286,319.1648,274,130.0658,9170,30
276.1228498,275.734,20487.72424,18522.00896,18652.472,276.12363,275,154.0863,6619,15
385.2444402,275.734,30894.22814,31936.01617,29160.71553,385.24485,275,155.0814,1817,30
211.1434114,277.394,76901.10469,67571.41344,69560.16035,211.14381,278,70.0659,3619,30
432.2781357,281.817,29319.21276,138934.8872,122037.727,432.27993,280,415.2555,10804,15
179.9863996,272.793,17608.84388,15251.44,18218.12119,179.98582,283,161.9751,1005,15
265.9813496,290.743,19132.84756,19797.96857,16767.53929,265.9809,291,223.9716,5320,15
372.2855708,291.676,26580.65735,29336.85,30650.34328,372.28556,292,158.1185,2379,30
283.0074785,290.892,12153.213,5776.9,8030.326615,283.00718,291,223.9709,6820,30
476.3046487,300.696,141607.6853,123395.0793,40881.876,476.30733,300,459.2814,3895,15
358.2694748,311.345,13602.59356,13984.91671,18807.29426,358.27064,311,158.1171,1868,30
206.0803583,312.201,44360.82467,47174.02363,42464.68512,206.08115,310,130.066,9084,45
238.0977553,317.12,60770.37694,76681.4685,76596.42059,238.0997,317,139.0307,7001,30
256.1077698,317.12,57141.03286,49491.2066,49979.937,256.10947,316,238.0994,80410,15
264.1956711,316.411,27483.40214,26805.87535,27086.94962,264.1958,316,58.0693,5108,30
520.3309579,318.071,100117.0672,104112.4245,87508.93568,520.33311,317,503.3103,2306,15
260.1843762,320.4,85166.55056,77013.771,26170.668,260.18575,319,85.0307,32386,30
313.1539405,322.05,56042.41607,47569.99,53655.27129,313.15529,321,120.0817,19092,30
304.211507,332.98,37851.19579,80592.71296,12303.24373,304.2119,332,85.0306,17442,30
352.1637923,334.63,145292.8873,114466.5055,63262.88176,352.16604,334,188.0706,20024,30
343.2591262,335.989,43835.91667,39678.95881,43619.34353,343.25854,336,158.117,4549,30
239.0946659,337.613,37630.69,39399.99294,36719.016,239.09095,337,179.0691,8333,15
312.1152987,344.191,50756.65269,124418.9889,41807.11223,312.117,339,221.107,23045,30
356.1425688,337.97,29353.43529,44176.4456,30866.67541,356.14249,337,221.108,6589,45
400.1645305,348.309,213567.3797,404689.113,170482.9502,400.16912,347,221.1073,58064,45
608.3837924,348.309,61001.60892,46721.83717,48311.58656,608.38446,347,400.1665,1027,15
