mz,tr,SPC.15V.1,SPC.30V.1,SPC.45V.1
140.0696368,45.2675,68471.36683,63556.164,36106.62825
140.1062365,179.883,11829.51739,12195.38325,11538.80867
141.0042542,523.289,395795.9893,363911.7281,395926.4888
140.9995433,1341.19,175794.3882,166886.71,131642.1756
140.9996012,1757.91,107455.5533,731677.4805,155421.6533
140.9971468,1485.54,104692.1667,118436.5163,105851.2219
140.9971051,1065.11,171451.8295,303987.005,93055.98909
140.9972632,1596.33,35847.38,115543.4133,114885.405
140.9990277,883.556,276490.7965,213776.475,545331.6397
140.9973288,1161.32,312234.4716,137448.5657,142765.37
140.9974201,1223.91,125702.2819,355554.69,148833.8632
140.9969728,970.791,289858.4184,131855.625,289497.139
141.00027,52.427,160171.0487,158661.9645,265259.6047
141.0704065,44.968,10621.12818,8648.228412,8971.163611
141.9595183,1774.5,62071.75043,44179.38429,53026.09778
142.0854864,60.757,27588.84118,25317.54712,15456.7168
142.0649455,148.098,29649.49268,23049.48917,8375.296455
143.0754823,148.095,30301.36074,34269.17616,33752.98706
337.2137832,1130.96,49542.02158,42385.82667,31632.70105
144.0799327,148.101,27214.99982,36189.61572,108018.8679
383.1146584,47.277,217106.9484,226538.4828,104120.2486
146.0606216,148.101,119417.3478,20186.76628,41661.04906
146.0590429,247.415,16583.66812,16408.2885,18778.63472
147.0490809,61.02,62879.16065,8345.378176,27803.74147
147.0628802,148.101,37659.30705,30265.05239,32599.11556
147.0750648,220.261,11514.84889,11229.43192,11159.40422
147.1165631,1297.27,17876.29737,16442.82,16327.16842
148.1042339,144.815,12366.18317,13539.659,10516.16887
148.5619509,913.909,35677.7473,22364.88442,23095.748
149.0188419,1713.78,493345.5647,229150.377,186851.3379
149.0192546,1268.28,278890.08,404233.5145,109716.3423
149.0190115,1777.99,31189.09579,45427.23214,34670.64563
149.0191097,1581.05,505708.2724,481438.185,319634.944
149.0208099,1109.67,216657.65,584478.125,236043.5978
149.0228008,832.689,26237.93421,120161.737,63457.99661
149.0546237,97.274,36651.44811,22955.16467,16060.11222
149.0246398,579.825,87702.4008,117046.8896,63017.57084
149.0225569,953.3925,272703.0132,99505.88791,130512.2226
150.0267303,1557.02,103170.5229,106429.3,93135.27222
150.0265084,1032.49,93570.34443,51339.2,46784.8675
